Porcentaje de ocupación de los servicios de hospitalización general, unidad de cuidado intermedio y unidad de cuidado intensivo en Bogotá D.C.;;;;;;;;;,,,,,,,,
;;;;;;;;;,,,,,,,,,
Utilidad: Monitorear las variaciones de la ocupación de los servicios de hospitalización general, unidad de cuidado intermedio y unidad de cuidado intensivo frente a la capacidad instalada en el Distrito;;;;;;;;;,,,,,,,,
;;;;;;;;;,,,,,,,,,
IPS Públicas;;;;;;;;;,,,,,,,,,
;HOSPITALIZACIÓN GENERAL ;;;UNIDAD DE CUIDADO INTERMEDIO;;;UNIDAD DE CUIDADO INTENSIVO;;,,,,,,,,,
;CUIDADO BASICO NEONATAL;HOSPITALIZACIÓN PEDIATRICA;HOSPITALIZACIÓN ADULTO;NEONATAL;PEDIATRICO;ADULTO;NEONATAL;PEDIATRICO ;ADULTO,,,,,,,,,
Camas ocupadas;97;100;870;95;7;46;53;20;149,,,,,,,,,
Camas habilitadas;138;400;1.267;126;14;64;68;29;168,,,,,,,,,
Porcentaje de Ocupación;70%;25%;69%;75%;50%;72%;78%;69%;89%,,,,,,,,,
Camas disponibles;41;300;397;31;7;18;15;9;19,,,,,,,,,
;;;;;;;;;,,,,,,,,,
IPS Privadas;;;;;;;;;,,,,,,,,,
;HOSPITALIZACIÓN GENERAL ;;;UNIDAD DE CUIDADO INTERMEDIO;;;UNIDAD DE CUIDADO INTENSIVO;;,,,,,,,,,
;CUIDADO BASICO NEONATAL;HOSPITALIZACIÓN PEDIATRICA;HOSPITALIZACIÓN ADULTO;NEONATAL;PEDIATRICO;ADULTO;NEONATAL;PEDIATRICO ;ADULTO,,,,,,,,,
Camas ocupadas;103;799;4.152;183;67;343;134;83;675,,,,,,,,,
Camas habilitadas;156;1.319;5.435;245;89;515;199;166;1.059,,,,,,,,,
Porcentaje de Ocupación;66%;61%;76%;75%;75%;67%;67%;50%;64%,,,,,,,,,
Camas disponibles;53;520;1.283;62;22;172;65;83;384,,,,,,,,,
;;;;;;;;;,,,,,,,,,
;;;;;;;;;,,,,,,,,,
;;;;;;;;;,,,,,,,,,
Fuente:  ;Camas Habilitadas. Registro Especial de Prestadores de Servicios de Salud. MSPS. Corte:16/06/2020.Universo 100 IPS con servicios de hospitalización y un total de 11.231 camas: 8.721 camas de Hospitalización general (adultos, niños y básico neonatal),  1.065 camas de Unidades de cuidados intermedios (adultos, niños y neonatos) y 1.445 Unidades de cuidados intensivos (adultos, niños y neonatos), de las cuales se realiza seguimiento a 83 sedes, las cuales cuentan con 10.904 camas (97,1% de la oferta de camas), a las que se le adicionan 553 camas autorizadas transitoriamente a corte del 16/06/2020, para un total de 11.457 camas.;;;;;;;;
;IPS Publica Fuente: SIRC - SDS. Universo 25 IPS publicas. Reporte de 25 USS. en aplicativo SIRC. Ingresa en este reporte USS Boston. Corte información: 20/06/2020. Horario: 10:30 AM (%REPORTE= 100 %). ;;;;;;;;,,,,,,,,,
;IPS Privadas. Fuente: Universo 58 IPS Privadas  Reporte 56 IPS privadas en aplicativo SIRC. Corte información: 20-06-2020. Horario:10:30 AM  (%REPORTE 96,6 %);;;;;;;;,,,,,,,,
